Año,Lugar,Zona,Numero,turistasINE,yhat_full,median_inc,Población,distance (km),distance,CT_(€),OC_(€),TC
2021,Galicia,España,23160,195885,40818.4916291873,42.21643835616438,2695645.0,117.12530057859097,117.12530057859097,15.226289075216826,14.07214611872146,29.298435193938285
2021,Galicia,España,23160,195440,40547.86889985304,42.21643835616438,2695645.0,117.12530057859097,117.12530057859097,15.226289075216826,14.07214611872146,29.298435193938285
2021,Galicia,España,23160,201343,44288.40340062324,42.21643835616438,2695645.0,117.12530057859097,117.12530057859097,15.226289075216826,14.07214611872146,29.298435193938285
2022,Galicia,España,8256,195885,40818.4916291873,42.21643835616438,2695645.0,117.12530057859097,117.12530057859097,15.226289075216826,14.07214611872146,29.298435193938285
2022,Galicia,España,8256,195440,40547.86889985304,42.21643835616438,2695645.0,117.12530057859097,117.12530057859097,15.226289075216826,14.07214611872146,29.298435193938285
2022,Galicia,España,8256,201343,44288.40340062324,42.21643835616438,2695645.0,117.12530057859097,117.12530057859097,15.226289075216826,14.07214611872146,29.298435193938285
2023,Galicia,España,7469,195885,40818.4916291873,42.21643835616438,2695645.0,117.12530057859097,117.12530057859097,15.226289075216826,14.07214611872146,29.298435193938285
2023,Galicia,España,7469,195440,40547.86889985304,42.21643835616438,2695645.0,117.12530057859097,117.12530057859097,15.226289075216826,14.07214611872146,29.298435193938285
2023,Galicia,España,7469,201343,44288.40340062324,42.21643835616438,2695645.0,117.12530057859097,117.12530057859097,15.226289075216826,14.07214611872146,29.298435193938285
2023,Madrid,España,10801,54417,4925.53644173457,52.61917808219178,6751251.0,624.7148974691751,624.7148974691751,81.21293667099276,17.539726027397258,98.75266269839003
2023,Madrid,España,10801,58826,5261.099935453201,52.61917808219178,6751251.0,624.7148974691751,624.7148974691751,81.21293667099276,17.539726027397258,98.75266269839003
2023,Madrid,España,10801,61380,5465.841023382847,52.61917808219178,6751251.0,624.7148974691751,624.7148974691751,81.21293667099276,17.539726027397258,98.75266269839003
2022,Madrid,España,11520,54417,4925.53644173457,52.61917808219178,6751251.0,624.7148974691751,624.7148974691751,81.21293667099276,17.539726027397258,98.75266269839003
2022,Madrid,España,11520,58826,5261.099935453201,52.61917808219178,6751251.0,624.7148974691751,624.7148974691751,81.21293667099276,17.539726027397258,98.75266269839003
2022,Madrid,España,11520,61380,5465.841023382847,52.61917808219178,6751251.0,624.7148974691751,624.7148974691751,81.21293667099276,17.539726027397258,98.75266269839003
2023,Cataluña,España,5114,7216,2432.3548138549904,51.583561643835615,7763362.0,1149.871852683607,1149.871852683607,149.4833408488689,17.194520547945203,166.67786139681408
2023,Cataluña,España,5114,8119,2465.410034132198,51.583561643835615,7763362.0,1149.871852683607,1149.871852683607,149.4833408488689,17.194520547945203,166.67786139681408
2023,Cataluña,España,5114,7772,2452.654938108752,51.583561643835615,7763362.0,1149.871852683607,1149.871852683607,149.4833408488689,17.194520547945203,166.67786139681408
2022,Cataluña,España,5376,7216,2432.3548138549904,51.583561643835615,7763362.0,1149.871852683607,1149.871852683607,149.4833408488689,17.194520547945203,166.67786139681408
2022,Cataluña,España,5376,8119,2465.410034132198,51.583561643835615,7763362.0,1149.871852683607,1149.871852683607,149.4833408488689,17.194520547945203,166.67786139681408
2022,Cataluña,España,5376,7772,2452.654938108752,51.583561643835615,7763362.0,1149.871852683607,1149.871852683607,149.4833408488689,17.194520547945203,166.67786139681408
2021,Cataluña,España,9000,7216,2432.3548138549904,51.583561643835615,7763362.0,1149.871852683607,1149.871852683607,149.4833408488689,17.194520547945203,166.67786139681408
2021,Cataluña,España,9000,8119,2465.410034132198,51.583561643835615,7763362.0,1149.871852683607,1149.871852683607,149.4833408488689,17.194520547945203,166.67786139681408
2021,Cataluña,España,9000,7772,2452.654938108752,51.583561643835615,7763362.0,1149.871852683607,1149.871852683607,149.4833408488689,17.194520547945203,166.67786139681408
2023,Andalucía,España,5964,10154,2541.559496867457,34.893150684931506,8472407.0,845.401148162988,845.401148162988,109.90214926118844,11.631050228310501,121.53319948949894
2023,Andalucía,España,5964,14674,2719.2172225993263,34.893150684931506,8472407.0,845.401148162988,845.401148162988,109.90214926118844,11.631050228310501,121.53319948949894
2023,Andalucía,España,5964,12885,2647.4623994483427,34.893150684931506,8472407.0,845.401148162988,845.401148162988,109.90214926118844,11.631050228310501,121.53319948949894
2022,Andalucía,España,5856,10154,2541.559496867457,34.893150684931506,8472407.0,845.401148162988,845.401148162988,109.90214926118844,11.631050228310501,121.53319948949894
2022,Andalucía,España,5856,14674,2719.2172225993263,34.893150684931506,8472407.0,845.401148162988,845.401148162988,109.90214926118844,11.631050228310501,121.53319948949894
2022,Andalucía,España,5856,12885,2647.4623994483427,34.893150684931506,8472407.0,845.401148162988,845.401148162988,109.90214926118844,11.631050228310501,121.53319948949894
2021,Andalucía,España,7800,10154,2541.559496867457,34.893150684931506,8472407.0,845.401148162988,845.401148162988,109.90214926118844,11.631050228310501,121.53319948949894
2021,Andalucía,España,7800,14674,2719.2172225993263,34.893150684931506,8472407.0,845.401148162988,845.401148162988,109.90214926118844,11.631050228310501,121.53319948949894
2021,Andalucía,España,7800,12885,2647.4623994483427,34.893150684931506,8472407.0,845.401148162988,845.401148162988,109.90214926118844,11.631050228310501,121.53319948949894
2023,Castilla y León,España,3568,44226,4229.548967181925,45.72054794520548,2383139.0,452.31452448754055,452.31452448754055,58.80088818338027,15.240182648401827,74.0410708317821
