Año,Lugar,Zona,Numero,turistasINE,yhat_full,median_inc,Población,distance (km),distance,CT_(€),OC_(€),TC
2020,Cataluña,España,362849,33492,inf,51.583561643835615,7763362.0,134.45114120810828,134.45114120810828,17.478648357054077,17.194520547945203,34.67316890499928
2020,Comunidade Valenciana,España,17700,2976,inf,41.843835616438355,5058138.0,494.72701402816926,494.72701402816926,64.314511823662,13.947945205479451,78.26245702914146
2020,Madrid,España,17135,2161,inf,52.61917808219178,6751251.0,601.781000716905,601.781000716905,78.23153009319766,17.539726027397258,95.77125612059493
2020,País Vasco,España,13275,655,7.891873741089921e+284,57.846575342465755,2213993.0,400.07641443408113,400.07641443408113,52.00993387643055,19.28219178082192,71.29212565725247
2020,Aragón,España,4425,816,inf,49.64657534246575,1326261.0,235.3099291320516,235.3099291320516,30.59029078716671,16.548858447488584,47.13914923465529
2020,Castilla y León,España,4425,260,2.2431575451828986e+113,45.72054794520548,2383139.0,646.1195756571947,646.1195756571947,83.99554483543531,15.240182648401827,99.23572748383714
2020,Andalucía,España,4425,134,4.263389948314721e+58,34.893150684931506,8472407.0,962.3562627414026,962.3562627414026,125.10631415638234,11.631050228310501,136.73736438469285
2020,Illes Balears,España,4425,307,5.790291477135095e+133,43.19178082191781,1173008.0,495.6495095435792,495.6495095435792,64.43443624066529,14.397260273972602,78.8316965146379
2021,Cataluña,España,342752,33573,inf,51.583561643835615,7763362.0,134.45114120810828,134.45114120810828,17.478648357054077,17.194520547945203,34.67316890499928
2021,Comunidade Valenciana,España,33792,2389,inf,41.843835616438355,5058138.0,494.72701402816926,494.72701402816926,64.314511823662,13.947945205479451,78.26245702914146
2021,Madrid,España,28965,1207,inf,52.61917808219178,6751251.0,601.781000716905,601.781000716905,78.23153009319766,17.539726027397258,95.77125612059493
2021,País Vasco,España,19310,607,1.124721500132769e+264,57.846575342465755,2213993.0,400.07641443408113,400.07641443408113,52.00993387643055,19.28219178082192,71.29212565725247
