Año,Zona,Lugar,Numero,median_inc,Población,distance (km),distance,CT_(€),OC_(€),TC
2019,España,Andalucía,346.0,34.893150684931506,8472407.0,929.2903326033576,929.2903326033576,120.80774323843649,11.631050228310501,132.438793466747
2020,España,Andalucía,350.0,34.893150684931506,8472407.0,929.2903326033576,929.2903326033576,120.80774323843649,11.631050228310501,132.438793466747
2021,España,Andalucía,697.0,34.893150684931506,8472407.0,929.2903326033576,929.2903326033576,120.80774323843649,11.631050228310501,132.438793466747
2022,España,Andalucía,744.0,34.893150684931506,8472407.0,929.2903326033576,929.2903326033576,120.80774323843649,11.631050228310501,132.438793466747
2023,España,Andalucía,650.0,34.893150684931506,8472407.0,929.2903326033576,929.2903326033576,120.80774323843649,11.631050228310501,132.438793466747
2019,España,Aragón,50.0,49.64657534246575,1326261.0,959.4702764780626,959.4702764780626,124.73113594214814,16.548858447488584,141.27999438963673
2020,España,Aragón,94.0,49.64657534246575,1326261.0,959.4702764780626,959.4702764780626,124.73113594214814,16.548858447488584,141.27999438963673
2021,España,Aragón,152.0,49.64657534246575,1326261.0,959.4702764780626,959.4702764780626,124.73113594214814,16.548858447488584,141.27999438963673
2022,España,Aragón,168.0,49.64657534246575,1326261.0,959.4702764780626,959.4702764780626,124.73113594214814,16.548858447488584,141.27999438963673
2023,España,Aragón,41.0,49.64657534246575,1326261.0,959.4702764780626,959.4702764780626,124.73113594214814,16.548858447488584,141.27999438963673
2019,España,Asturias,400.0,46.03013698630137,1011792.0,352.69933483607406,352.69933483607406,45.85091352868963,15.34337899543379,61.19429252412342
2020,España,Asturias,609.0,46.03013698630137,1011792.0,352.69933483607406,352.69933483607406,45.85091352868963,15.34337899543379,61.19429252412342
2021,España,Asturias,984.0,46.03013698630137,1011792.0,352.69933483607406,352.69933483607406,45.85091352868963,15.34337899543379,61.19429252412342
2022,España,Asturias,967.0,46.03013698630137,1011792.0,352.69933483607406,352.69933483607406,45.85091352868963,15.34337899543379,61.19429252412342
2023,España,Asturias,729.0,46.03013698630137,1011792.0,352.69933483607406,352.69933483607406,45.85091352868963,15.34337899543379,61.19429252412342
2024,España,Asturias,45.0,46.03013698630137,1011792.0,352.69933483607406,352.69933483607406,45.85091352868963,15.34337899543379,61.19429252412342
2019,España,Illes Balears,35.0,43.19178082191781,1173008.0,1421.1644058921822,1421.1644058921822,184.7513727659837,14.397260273972602,199.14863303995628
2020,España,Illes Balears,33.0,43.19178082191781,1173008.0,1421.1644058921822,1421.1644058921822,184.7513727659837,14.397260273972602,199.14863303995628
2021,España,Illes Balears,46.0,43.19178082191781,1173008.0,1421.1644058921822,1421.1644058921822,184.7513727659837,14.397260273972602,199.14863303995628
2022,España,Illes Balears,62.0,43.19178082191781,1173008.0,1421.1644058921822,1421.1644058921822,184.7513727659837,14.397260273972602,199.14863303995628
2023,España,Illes Balears,93.0,43.19178082191781,1173008.0,1421.1644058921822,1421.1644058921822,184.7513727659837,14.397260273972602,199.14863303995628
2019,España,Canarias,249.0,37.706849315068496,2172944.0,2123.3626041898424,2123.3626041898424,276.0371385446795,12.568949771689498,288.60608831636904
2020,España,Canarias,217.0,37.706849315068496,2172944.0,2123.3626041898424,2123.3626041898424,276.0371385446795,12.568949771689498,288.60608831636904
2021,España,Canarias,357.0,37.706849315068496,2172944.0,2123.3626041898424,2123.3626041898424,276.0371385446795,12.568949771689498,288.60608831636904
